season,match_key,date,result,opponent,sets_played,kills,kills_per_set,kill_pct,kill_attempts,kill_errors,hit_pct,assists,assists_per_set,ball_handling_attempts,ball_handling_errors,solo_blocks,assisted_blocks,total_blocks,blocks_per_set,block_errors,digs,dig_errors,digs_per_set,receiving,receiving_errors,receiving_per_set,aces,aces_per_set,ace_pct,serve_attempts,serve_errors,serve_pct,points
FR,FR_09-01_TA_1,2016-09-01,W 3-0,Takoma Academy,3,5,1.7,20.0,25,6,-0.04,0,0.0,0,0,0,0,0,0.0,0,7,0,2.3,13,2,4.3,6,2.0,40.0,15,2,86.7,0
FR,FR_09-09_RCSA_1,2016-09-09,W 2-0,River City Science Academy,2,6,3.0,42.9,14,1,0.357,0,0.0,0,0,1,0,1,0.5,0,5,0,2.5,13,0,6.5,2,1.0,33.3,6,0,100.0,0
FR,FR_09-09_INTERLACHEN_2,2016-09-09,W 2-0,Interlachen,2,3,1.5,16.7,18,3,0.0,0,0.0,0,0,1,0,1,0.5,0,10,0,5.0,8,2,4.0,4,2.0,50.0,8,0,100.0,0
FR,FR_09-09_FSDB_3,2016-09-09,W 2-0,Florida School for the Deaf & Blind,2,3,1.5,20.0,15,4,-0.067,0,0.0,0,0,1,0,1,0.5,0,4,0,2.0,12,2,6.0,5,2.5,62.5,8,0,100.0,0
FR,FR_09-17_AIDB_1,2016-09-17,W 3-0,Alabama School for the Deaf,3,11,3.7,44.0,25,6,0.2,0,0.0,0,0,0,0,0,0.0,0,10,0,3.3,12,0,4.0,2,0.7,22.2,9,1,88.9,0
FR,FR_09-20_SJDS_1,2016-09-20,W 3-0,Smith Jewish Day School,3,7,2.3,31.8,22,3,0.182,1,0.3,0,0,0,0,0,0.0,0,12,0,4.0,12,1,4.0,3,1.0,37.5,8,0,100.0,0
FR,FR_09-22_RB_1,2016-09-22,W 3-0,Riverdale Baptist,3,5,1.7,45.5,11,1,0.364,0,0.0,0,0,0,0,0,0.0,0,19,0,6.3,16,3,5.3,2,0.7,20.0,10,1,90.0,0
FR,FR_09-24_CSHC_1,2016-09-24,W,Connelly School of the Holy Child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR,FR_09-24_ISA_2,2016-09-24,L 0-2,Islamic Saudi Academy,2,1,0.5,11.1,9,3,-0.222,2,1.0,0,0,0,0,0,0.0,0,4,0,2.0,11,2,5.5,0,0.0,0.0,3,1,66.7,0
FR,FR_09-24_SIDWELL_3,2016-09-24,W 2-0,Sidwell Friends,2,3,1.5,16.7,18,2,0.056,0,0.0,0,0,0,0,0,0.0,0,10,0,5.0,10,1,5.0,1,0.5,50.0,2,0,100.0,0
